Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
CCO,1992,Ray WA,Fought RL,Decker MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,1995,Sturkenboom MCM,Middelbeek A,de Jong-van den Berg LTW,van den Berg PB,Stricker BH,Wesseling H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,1998,Barbone F,McMahon AD,Davey PG,Morris AD,Reid IC,McDevitt DG,MacDonald TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2001,Confavreux C,Suissa S,Saddier P,Bourdés V,Vukusic S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2001,Fagot JP,Mockenhaupt M,Bouwes-Bavinck JN,Naldi L,Viboud C,Roujeau JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2002,Neutel CI,Perry S,Maxwell C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2003,Etienney I,Beaugerie L,Viboud C,Flahault A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2003,Hernandez-Diaz S,Hernan MA,Meyer K,Werler MM,Mitchell A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2003,Ki M,Park Taesung,Yi Sung Gon,Oh JK,Choi BoYoul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2004,France EK,Glanz JM,Xu Stan,Davis RL,Black SB,Shinefield HR,Zangwill KM,Marcy SM,Mullooly JP,Jackson LA,Chen Robert T,,,,,,,,,,,,,,,,,,,,,,,,
CCO,2004,Park Taesung,Ki M,Yi Sung Gon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
