year,author,method,reporting raw,reportScore,reportingOT,reportGrade,methods raw,methodsScore,methodsOT,methodsGrade
1992,Decker MD,CCO,1,100,,,1,100,,
1992,Fought RL,CCO,1,100,,,1,100,,
1992,Ray WA,CCO,1,100,,,1,100,,
1995,de Jong-van den Berg LTW,CCO,1,100,,,1,100,,
1995,Middelbeek A,CCO,1,100,,,1,100,,
1995,Stricker BH,CCO,1,100,,,1,100,,
1995,Sturkenboom MCM,CCO,1,100,,,1,100,,
1995,van den Berg PB,CCO,1,100,,,1,100,,
1995,Wesseling H,CCO,1,100,,,1,100,,
1998,Barbone F,CCO,1,0,,,1,100,,
1998,Davey PG,CCO,1,100,,,1,100,,
1998,MacDonald TM,CCO,1,100,,,1,100,,
1998,McDevitt DG,CCO,1,100,,,1,100,,
1998,McMahon AD,CCO,1,100,,,1,100,,
1998,Morris AD,CCO,1,100,,,1,100,,
1998,Reid IC,CCO,1,100,,,1,100,,
2001,Bourdés V,CCO,1,100,,,1,100,,
2001,Bouwes-Bavinck JN,CCO,1,100,,,0.5,50,,
2001,Confavreux C,CCO,1,100,,,1,100,,
2001,Fagot JP,CCO,1,100,,,0.5,50,,
2001,Mockenhaupt M,CCO,1,100,,,0.5,50,,
2001,Naldi L,CCO,1,100,,,0.5,50,,
2001,Roujeau JC,CCO,1,100,,,0.5,50,,
2001,Saddier P,CCO,1,100,,,1,100,,
2001,Suissa S,CCO,1,100,,,1,100,,
2001,Viboud C,CCO,1,100,,,0.5,50,,
2001,Vukusic S,CCO,1,100,,,1,100,,
2002,Maxwell C,CCO,1,100,,,1,100,,
2002,Neutel CI,CCO,1,100,,,1,100,,
2002,Perry S,CCO,1,100,,,1,100,,
2003,Beaugerie L,CCO,1,100,,,1,100,,
2003,Choi BoYoul,CCO,1,100,,,1,100,,
2003,Etienney I,CCO,1,100,,,1,100,,
2003,Flahault A,CCO,1,100,,,1,100,,
2003,Hernan MA,"CCO,CTC",1,100,,,1,100,,
2003,Hernandez-Diaz S,"CCO,CTC",1,100,,,1,100,,
2003,Ki M,CCO,1,100,,,1,100,,
2003,Meyer K,"CCO,CTC",1,100,,,1,100,,
2003,Mitchell A,"CCO,CTC",1,100,,,1,100,,
2003,Oh JK,CCO,1,100,,,1,100,,
2003,Park Taesung,CCO,1,100,,,1,100,,
2003,Viboud C,CCO,1,100,,,1,100,,
2003,Werler MM,"CCO,CTC",1,100,,,1,100,,
2003,Yi Sung Gon,CCO,1,100,,,1,100,,
2004,Black SB,CCO,1,100,,,1,100,,
2004,Chen Robert T,CCO,1,100,,,1,100,,
2004,Davis RL,CCO,1,100,,,1,100,,
2004,France EK,CCO,1,100,,,1,100,,
2004,Glanz JM,CCO,1,100,,,1,100,,
2004,Jackson LA,CCO,1,100,,,1,100,,
2004,Ki M,CCO,1,100,,,1,100,,
2004,Marcy SM,CCO,1,100,,,1,100,,
2004,Mullooly JP,CCO,1,100,,,1,100,,
2004,Park Taesung,CCO,1,100,,,1,100,,
2004,Shinefield HR,CCO,1,100,,,1,100,,
2004,Xu Stan,CCO,1,100,,,1,100,,
2004,Yi Sung Gon,CCO,1,100,,,1,100,,
2004,Zangwill KM,CCO,1,100,,,1,100,,
2005,Aberra FN,CCO,0,0,,,1,100,,
