"","year","author","method","reportScore","methodsScore"
"52",2001,"Fair E","SCCS",0,100
"202",2005,"Tata LJ","SCCS",0,50
"233",2006,"McClure D","CCO",100,100
"242",2006,"Shinefield HR","CCO",100,100
"254",2006,"Finlayson AR","SCCS",0,100
"312",2007,"Taylor B","SCCS",0,100
"338",2008,"Han X","CCO",100,100
"352",2008,"Metzler C","CCO",100,50
"683",2011,"Esparza-Aguilar M","SCCS",0,100
"726",2011,"Massari M","SCCS",50,100
"732",2011,"Miller E","SCCS",0,100
"744",2011,"Potter BK","SCCS",0,100
"745",2011,"Potter BK","SCCS",0,100
"781",2012,"de Jong-van den Berg LTW","CCO+CTC",100,100
"783",2012,"Andersen PK","CTC",0,50
"807",2012,"Durrieu G","CCO",50,50
"877",2012,"Zhang Yuqing","CCO",100,50
"893",2012,"Butt DA","SCCS",100,50
"894",2012,"Carter GL","SCCS",100,0
"917",2012,"Evans SJ","SCCS",50,50
"1023",2013,"Gau Susan Shur-Fen","CCO",100,100
"1026",2013,"Holman CDJ","CTC",100,100
"1087",2013,"Black SB","SCCS",0,100
"1136",2013,"Jacobsen SJ","SCCS",100,100
