"","year","author","method","reportScore","methodsScore"
"20",1998,"MacDonald TM","CCO",100,100
"21",1998,"McDevitt DG","CCO",100,100
"22",1998,"McMahon AD","CCO",100,100
"52",2001,"Fair E","SCCS",0,100
"54",2001,"Farrington CP","SCCS",0,100
"60",2001,"Kramarz P","SCCS",0,100
"90",2002,"Maxwell C","CCO",100,100
"97",2003,"Werler MM","CCO+CTC",100,100
"106",2003,"Yi Sung Gon","CCO",100,100
"107",2003,"Andrews N","SCCS",0,100
"141",2004,"Linder T","SCCS",0,100
"173",2005,"Canh Gia D","SCCS",50,100
"182",2005,"Godfrey C","SCCS",0,100
"202",2005,"Tata LJ","SCCS",0,50
"203",2005,"Thiem DV","SCCS",50,100
"217",2006,"Chaisson CE","CCO",100,50
"222",2006,"Gislason GH","CCO",100,100
"233",2006,"McClure D","CCO",100,100
"238",2006,"Rasmussen JN","CCO",100,100
"242",2006,"Shinefield HR","CCO",100,100
"254",2006,"Finlayson AR","SCCS",0,100
"265",2006,"Stowe J","SCCS",0,100
"284",2007,"Koren G","CCO",100,100
"300",2007,"Bryant NJ","SCCS",0,100
"307",2007,"Ohrling A","SCCS",0,100
"309",2007,"Stowe J","SCCS",0,100
"312",2007,"Taylor B","SCCS",0,100
"313",2007,"Taylor B","SCCS",0,100
"314",2007,"Taylor B","SCCS",0,100
"315",2007,"Verity CM","SCCS",0,100
"316",2007,"Waight P","SCCS",0,100
"317",2007,"Ward KN","SCCS",0,100
"318",2008,"Agard C","CCO",0,100
"319",2008,"Alarcón GS","CCO",0,50
"335",2008,"Guillevin L","CCO",100,50
"338",2008,"Han X","CCO",100,100
"352",2008,"Metzler C","CCO",100,50
"370",2008,"MacAllister R","SCCS",0,50
"371",2008,"Miller E","SCCS",0,100
"454",2009,"Stowe J","SCCS",0,100
"476",2010,"Egawa T","CCO",100,100
"478",2010,"Ferraiuoli GI","CCO",100,100
"500",2010,"Lagarde E","CCO",100,100
"501",2010,"Lai Mei-Shu","CCO",100,100
"538",2010,"Wang Jung-Der","CCO",100,100
"556",2010,"Woodman RJ","SCCS",0,100
"585",2011,"Choi Nam-Kyong","CCO",100,50
"622",2011,"Mamdani M","CCO",100,100
"656",2011,"Bryan P","SCCS",0,100
"669",2011,"Daley MF","SCCS",0,100
"676",2011,"DeStefano F","SCCS",0,100
"683",2011,"Esparza-Aguilar M","SCCS",0,100
"708",2011,"Hubbard R","SCCS",50,50
"710",2011,"Keelan J","SCCS",0,100
"718",2011,"Lopez-Callada VR","SCCS",0,100
"721",2011,"Manuel DG","SCCS",0,100
"726",2011,"Massari M","SCCS",50,100
"732",2011,"Miller E","SCCS",0,100
"735",2011,"Mullooly JP","SCCS",0,100
"741",2011,"Patel MM","SCCS",0,100
"744",2011,"Potter BK","SCCS",0,100
"745",2011,"Potter BK","SCCS",0,100
"746",2011,"Raschetti R","SCCS",50,100
"747",2011,"Renoiner EIM","SCCS",0,100
"748",2011,"Rezk GHP","SCCS",0,100
"749",2011,"Ross C","SCCS",0,100
"762",2011,"Spila-Alegiani S","SCCS",50,100
"767",2011,"Tinajero-Pizano R","SCCS",0,100
"781",2012,"de Jong-van den Berg LTW","CCO+CTC",100,100
"783",2012,"Andersen PK","CTC",0,50
"792",2012,"Blumberg N","CCO",100,100
"794",2012,"Campbell RJ","CCO",100,50
"800",2012,"Choi Nam-Kyong","CCO",100,100
"807",2012,"Durrieu G","CCO",50,50
"811",2012,"Gadegbeku B","CCO",50,50
"812",2012,"Gerds T","CTC",100,50
"829",2012,"Lagarde E","CCO",50,50
"831",2012,"Lai Mei-Shu","CCO",100,100
"853",2012,"Newman AM","CCO",100,50
"859",2012,"Pehrson S","CTC",100,50
"860",2012,"Philip P","CCO",50,50
"877",2012,"Zhang Yuqing","CCO",100,50
"893",2012,"Butt DA","SCCS",100,50
"894",2012,"Carter GL","SCCS",100,0
"916",2012,"Ducruet T","SCCS",0,50
"917",2012,"Evans SJ","SCCS",50,50
"919",2012,"Fireman BH","SCCS",100,100
"924",2012,"Glanz JM","SCCS",0,100
"926",2012,"Gomes T","SCCS",100,50
"930",2012,"Hambidge SJ","SCCS",0,100
"948",2012,"Lewis P","SCCS",0,100
"959",2012,"Miller E","SCCS",100,100
"967",2012,"Olsen J","SCCS",0,100
"981",2012,"Timmis  A","SCCS",50,50
"982",2012,"Tokars JI","SCCS",0,100
"1010",2013,"Chang Chia-Hsuin","CCO",100,50
"1011",2013,"Chang Yoosoo","CCO",100,100
"1023",2013,"Gau Susan Shur-Fen","CCO",100,100
"1026",2013,"Holman CDJ","CTC",100,100
"1030",2013,"Jang Eun Jin","CCO",100,50
"1040",2013,"Lagarde E","CCO",50,50
"1044",2013,"Lee Joongyub","CCO",100,100
"1045",2013,"Lee Na Rae","CCO",100,50
"1046",2013,"Lee Yoojin","CCO",100,100
"1047",2013,"Liu Chia-Lin","CCO",100,50
"1048",2013,"Ljung R","CCO",100,50
"1054",2013,"Orriols L","CCO",50,50
"1087",2013,"Black SB","SCCS",0,100
"1104",2013,"Deceuninck G","SCCS",0,100
"1105",2013,"Delaney JAC","SCCS",0,100
"1109",2013,"Ducharme R","SCCS",100,100
"1110",2013,"Etminan M","SCCS",0,100
"1111",2013,"Evans SJ","SCCS",0,50
"1112",2013,"Fardet L","SCCS",0,100
"1123",2013,"Hartman K","SCCS",100,100
"1135",2013,"Jackson LA","SCCS",100,100
"1136",2013,"Jacobsen SJ","SCCS",100,100
"1137",2013,"Kelman J","SCCS",0,100
"1141",2013,"Lee KJ","SCCS",0,100
"1177",2013,"Sturkenboom MCM","SCCS",0,100
"1184",2013,"van der Maas N","SCCS",0,100
