year,author,method,reportScore,methodsScore
1992,Decker MD,CCO,100,100
1992,Fought RL,CCO,100,100
1992,Ray WA,CCO,100,100
1995,de Jong-van den Berg LTW,CCO,100,100
1995,Middelbeek A,CCO,100,100
1995,Stricker BH,CCO,100,100
1995,Sturkenboom MCM,CCO,100,100
1995,van den Berg PB,CCO,100,100
1995,Wesseling H,CCO,100,100
1995,Colville A,SCCS,0,100
1995,Farrington CP,SCCS,0,100
1995,Flower A,SCCS,0,100
1995,Miller E,SCCS,0,100
1995,Morgan-Capner P,SCCS,0,100
1995,Nash J,SCCS,0,100
1995,Pugh S,SCCS,0,100
1995,Rush M,SCCS,0,100
1998,Barbone F,CCO,0,100
1998,Davey PG,CCO,100,100
1998,MacDonald TM,CCO,100,100
1998,McDevitt DG,CCO,100,100
1998,McMahon AD,CCO,100,100
1998,Morris AD,CCO,100,100
1998,Reid IC,CCO,100,100
2000,Barreto ML,SCCS,100,100
2000,Cunha S,SCCS,100,100
2000,Dourado I,SCCS,100,100
2000,Farrington CP,SCCS,100,100
2000,Lucena R,SCCS,100,100
2000,Melo A,SCCS,100,100
2000,Teixeira MG,SCCS,100,100
2001,Bourdés V,CCO,100,100
2001,Bouwes-Bavinck JN,CCO,100,50
2001,Confavreux C,CCO,100,100
2001,Fagot JP,CCO,100,50
2001,Mockenhaupt M,CCO,100,50
2001,Naldi L,CCO,100,50
2001,Roujeau JC,CCO,100,50
2001,Saddier P,CCO,100,100
2001,Suissa S,CCO,100,100
2001,Viboud C,CCO,100,50
2001,Vukusic S,CCO,100,100
2001,Andrews N,SCCS,0,100
2001,Andrews N,SCCS,0,100
2001,Black SB,SCCS,0,100
2001,Bohlke K,SCCS,0,100
2001,Cardenas AZ,SCCS,0,100
2001,Chen Robert T,SCCS,0,100
2001,Crowcroft NS,SCCS,0,100
2001,Davis RL,SCCS,0,100
2001,DeStefano F,SCCS,0,100
2001,Fair E,SCCS,0,100
2001,Farrington CP,SCCS,0,100
2001,Farrington CP,SCCS,0,100
2001,Farrington CP,SCCS,0,100
2001,Farrington CP,SCCS,0,100
2001,Gargiullo PM,SCCS,0,100
2001,Gargiullo PM,SCCS,0,100
2001,Jumaan AO,SCCS,0,100
2001,Kramarz P,SCCS,0,100
2001,LeBaron CW,SCCS,0,100
2001,Lieu TA,SCCS,0,100
2001,Livingood JR,SCCS,0,100
2001,Marcy SM,SCCS,0,100
2001,Marie GC,SCCS,0,100
2001,Massoudi MS,SCCS,0,100
2001,Miller E,SCCS,0,100
2001,Miller E,SCCS,0,100
2001,Miller E,SCCS,0,100
2001,Mullooly JP,SCCS,0,100
2001,Murphy TV,SCCS,0,100
2001,Nelson DB,SCCS,0,100
2001,Okoro CA,SCCS,0,100
2001,Pena MS,SCCS,0,100
2001,Sanchez MV,SCCS,0,100
2001,Santiago MA,SCCS,0,100
2001,Sardinas MAG,SCCS,0,100
2001,Setia S,SCCS,0,100
2001,Shinefield HR,SCCS,0,100
2001,Stowe J,SCCS,0,100
2001,Stowe J,SCCS,0,100
2001,Taylor B,SCCS,0,100
2001,Taylor B,SCCS,0,100
2001,Taylor B,SCCS,0,100
2001,Waight P,SCCS,0,100
2001,Waight P,SCCS,0,100
2001,Ward JI,SCCS,0,100
2001,Wharton M,SCCS,0,100
2001,Zanardi LR,SCCS,0,100
2002,Maxwell C,CCO,100,100
2002,Neutel CI,CCO,100,100
2002,Perry S,CCO,100,100
2003,Hernan MA,CCO+CTC,100,100
2003,Hernandez-Diaz S,CCO+CTC,100,100
2003,Meyer K,CCO+CTC,100,100
2003,Mitchell A,CCO+CTC,100,100
2003,Werler MM,CCO+CTC,100,100
2003,Beaugerie L,CCO,100,100
2003,Choi BoYoul,CCO,100,100
2003,Etienney I,CCO,100,100
2003,Flahault A,CCO,100,100
2003,Ki M,CCO,100,100
2003,Oh JK,CCO,100,100
2003,Park Taesung,CCO,100,100
2003,Viboud C,CCO,100,100
2003,Yi Sung Gon,CCO,100,100
2003,Andrews N,SCCS,0,100
2003,Farrington CP,SCCS,0,50
2003,Farrington CP,SCCS,0,100
2003,Harrison T,SCCS,0,100
2003,Hubbard R,SCCS,0,50
2003,Hubbard R,SCCS,0,100
2003,Miller E,SCCS,0,100
2003,Smeeth L,SCCS,0,50
2003,Smith C,SCCS,0,50
2003,Smith C,SCCS,0,100
2003,Tata LJ,SCCS,0,100
2003,Tattersfield A,SCCS,0,50
2003,Taylor B,SCCS,0,100
2003,Waight P,SCCS,0,100
2003,West J,SCCS,0,100
2004,Black SB,CCO,100,100
2004,Chen Robert T,CCO,100,100
2004,Davis RL,CCO,100,100
2004,France EK,CCO,100,100
2004,Glanz JM,CCO,100,100
2004,Jackson LA,CCO,100,100
2004,Ki M,CCO,100,100
2004,Marcy SM,CCO,100,100
2004,Mullooly JP,CCO,100,100
2004,Park Taesung,CCO,100,100
2004,Shinefield HR,CCO,100,100
2004,Xu Stan,CCO,100,100
2004,Yi Sung Gon,CCO,100,100
2004,Zangwill KM,CCO,100,100
2004,Bopp M,SCCS,0,100
2004,Chen Robert T,SCCS,0,100
2004,Farrington CP,SCCS,0,100
2004,Hall AJ,SCCS,0,100
2004,Hubbard R,SCCS,0,100
2004,Linder T,SCCS,0,100
2004,Mutsch M,SCCS,0,100
2004,Rhodes P,SCCS,0,100
2004,Smeeth L,SCCS,0,100
2004,Spyr C,SCCS,0,100
2004,Steffen R,SCCS,0,100
2004,Thomas SL,SCCS,0,100
2004,Vallance P,SCCS,0,100
2004,Zhou W,SCCS,0,100
2005,Bagnardi V,CCO+CTC,0,100
2005,Corrao G,CCO+CTC,100,100
2005,Faini S,CCO+CTC,100,100
2005,Leoni O,CCO+CTC,100,100
2005,Suissa S,CCO+CTC,100,100
2005,Zambon A,CCO+CTC,100,100
2005,Aberra FN,CCO,0,100
2005,Bilker WB,CCO,100,100
2005,Bonneh DY,CCO,100,100
2005,Brensinger CM,CCO,100,100
2005,Cohen AD,CCO,100,100
2005,Glasser DB,CCO,100,100
2005,Halevy S,CCO,100,100
2005,Lewis JD,CCO,100,100
2005,Lichtenstein GR,CCO,100,100
2005,Maclure M,CCO,100,100
2005,Mittleman MA,CCO,100,100
2005,Naggan L,CCO,100,100
2005,Reuveni H,CCO,100,100
2005,Vardy DA,CCO,100,100
2005,Ali M,SCCS,50,100
2005,Britton J,SCCS,0,100
2005,Britton J,SCCS,0,100
2005,Canh Gia D,SCCS,50,100
2005,Card T,SCCS,0,0
2005,Card T,SCCS,0,50
2005,Clemens JD,SCCS,50,100
2005,Farrington CP,SCCS,0,100
2005,Farrington CP,SCCS,0,100
2005,Farrington CP,SCCS,0,0
2005,Farrington CP,SCCS,0,50
2005,Fortun PJ,SCCS,0,0
2005,Godfrey C,SCCS,0,100
2005,Godfrey C,SCCS,0,100
2005,Hawkey CJ,SCCS,0,0
2005,Hubbard R,SCCS,0,100
2005,Hubbard R,SCCS,0,100
2005,Hubbard R,SCCS,0,0
2005,Hubbard R,SCCS,0,50
2005,Lewis S,SCCS,0,100
2005,Lewis S,SCCS,0,100
2005,Minh TT,SCCS,50,100
2005,Park JK,SCCS,50,100
2005,Smeeth L,SCCS,0,100
2005,Smeeth L,SCCS,0,100
2005,Smeeth L,SCCS,0,0
2005,Smeeth L,SCCS,0,50
2005,Smith C,SCCS,0,100
2005,Smith C,SCCS,0,100
2005,Smith C,SCCS,0,0
2005,Smith C,SCCS,0,50
2005,Tata LJ,SCCS,0,0
2005,Tata LJ,SCCS,0,50
2005,Thiem DV,SCCS,50,100
2005,Tho HL,SCCS,50,100
2005,Trach DD,SCCS,50,100
2005,von Seidlein L,SCCS,50,100
2005,West J,SCCS,0,100
2005,West J,SCCS,0,0
2005,West J,SCCS,0,50
2005,Whitaker HJ,SCCS,0,0
2006,Abildstrom SZ,CCO,0,100
2006,Belongia EA,CCO,100,100
2006,Biskupiak JE,CCO,100,100
2006,Black SB,CCO,100,100
2006,Brixner DI,CCO,100,100
2006,Buch P,CCO,100,100
2006,Chaisson CE,CCO,100,50
2006,Chen Robert T,CCO,100,100
2006,Davis RL,CCO,100,100
2006,France EK,CCO,100,100
2006,Friberg J,CCO,100,100
2006,Gislason GH,CCO,100,100
2006,Glanz JM,CCO,100,100
2006,Hambidge SJ,CCO,100,100
2006,Howard K,CCO,100,100
2006,Hunter DJ,CCO,100,50
2006,Jackson LA,CCO,100,100
2006,Jacobsen SJ,CCO,100,100
2006,Kober L,CCO,100,100
2006,Lewis EM,CCO,100,100
2006,Madsen M,CCO,100,100
2006,Marcy SM,CCO,100,100
2006,McClure D,CCO,100,100
2006,Mullooly JP,CCO,100,100
2006,Niu J,CCO,100,50
2006,Nordin JD,CCO,100,100
2006,Oderda GM,CCO,100,100
2006,Rasmussen JN,CCO,100,100
2006,Rasmussen S,CCO,100,100
2006,Schramm TK,CCO,100,100
2006,Shay DK,CCO,100,100
2006,Shinefield HR,CCO,100,100
2006,Torp-Pedersen C,CCO,100,100
2006,Woods R,CCO,100,50
2006,Xu Stan,CCO,100,100
2006,Yamasaki K,CCO,100,100
2006,York M,CCO,100,50
2006,Zangwill KM,CCO,100,100
2006,Zhang Yuqing,CCO,100,50
2006,Andrews N,SCCS,0,100
2006,Boyd JH,SCCS,0,100
2006,Cameron JC,SCCS,0,100
2006,Charlton J,SCCS,50,100
2006,Finlayson AR,SCCS,0,100
2006,Gulliford MC,SCCS,50,100
2006,Hughes RA,SCCS,50,100
2006,Juurlink DN,SCCS,50,100
2006,Kopp A,SCCS,50,100
2006,Kwong JC,SCCS,50,100
2006,Latinovic R,SCCS,50,100
2006,Manuel DG,SCCS,50,100
2006,McGee A,SCCS,50,100
2006,Miller E,SCCS,0,100
2006,Moineddin R,SCCS,50,100
2006,Stowe J,SCCS,0,100
2006,Stukel TA,SCCS,50,100
2006,Upshur RE,SCCS,50,100
2006,Walsh D,SCCS,0,100
2006,Wilson K,SCCS,50,100
2006,Wise L,SCCS,0,100
2007,Blanchette V,CCO,100,100
2007,Christensen J,CTC,100,100
2007,Czeizel AE,CTC,100,100
2007,Egberts TCG,CCO,100,100
2007,Finkelstein Y,CCO,100,100
2007,Garcia-Bournissen F,CCO,100,100
2007,Hallas J,CCO,100,100
2007,Handoko KB,CCO,100,100
2007,Hermens WAJJ,CCO,100,100
2007,Horvath-Puho E,CTC,100,100
2007,Juurlink DN,CCO,100,100
2007,Kirby M,CCO,100,100
2007,Kjaer D,CTC,100,100
2007,Koren G,CCO,100,100
2007,Lassen AT,CCO,100,100
2007,Nurmohamed L,CCO,100,100
2007,Obel N,CCO,100,100
2007,Olsen J,CTC,100,100
2007,Schechter T,CCO,100,100
2007,Sode J,CCO,100,100
2007,Sorensen HT,CTC,100,100
2007,Souverein PC,CCO,100,100
2007,Vestergaard M,CTC,100,100
2007,Zwart-van Rijkom JEF,CCO,100,100
2007,Andrews N,SCCS,0,100
2007,Andrews N,SCCS,0,100
2007,Andrews N,SCCS,0,100
2007,Andrews N,SCCS,0,100
2007,Bowley JS,SCCS,0,100
2007,Bryant NJ,SCCS,0,100
2007,Grant A,SCCS,0,100
2007,Hamidi-Manesh L,SCCS,0,100
2007,Miller E,SCCS,0,100
2007,Miller E,SCCS,0,100
2007,Miller E,SCCS,0,100
2007,Miller E,SCCS,0,100
2007,Ohrling A,SCCS,0,100
2007,Ross EM,SCCS,0,100
2007,Stowe J,SCCS,0,100
2007,Stowe J,SCCS,0,100
2007,Stowe J,SCCS,0,100
2007,Taylor B,SCCS,0,100
2007,Taylor B,SCCS,0,100
2007,Taylor B,SCCS,0,100
2007,Verity CM,SCCS,0,100
2007,Waight P,SCCS,0,100
2007,Ward KN,SCCS,0,100
2008,Agard C,CCO,0,100
2008,Alarcón GS,CCO,0,50
2008,Andersen M,CCO,0,100
2008,Azoulay L,CCO,100,100
2008,Berard A,CCO,100,100
2008,Berezné A,CCO,0,100
2008,Bilker WB,CCO,100,100
2008,Bjerrum L,CCO,100,100
2008,Blais L,CCO,100,100
2008,Brensinger CM,CCO,100,100
2008,Cabane J,CCO,100,100
2008,Chen Pau-Chung,CCO,100,100
2008,Coste J,CCO,100,50
2008,Curcin V,CCO,100,50
2008,Durán-Barragán S,CCO,100,50
2008,Frances C,CCO,100,100
2008,Gross WL,CCO,100,50
2008,Guillevin L,CCO,100,50
2008,Guillevin L,CCO,100,100
2008,Hallas J,CCO,100,100
2008,Han X,CCO,100,100
2008,Hauser T,CCO,100,50
2008,Hellmich B,CCO,100,50
2008,Hennessy S,CCO,100,100
2008,Kimmel SE,CCO,100,100
2008,Koren G,CCO,100,100
2008,Lee Chang-Hsing,CCO,100,100
2008,LeLorier J,CCO,100,100
2008,Mahr A,CCO,100,50
2008,Mahr A,CCO,100,100
2008,Majeed A,CCO,100,50
2008,McGwin Jr G,CCO,100,50
2008,McKeigue P,CCO,100,50
2008,Mehrenberger M,CCO,100,100
2008,Metzler C,CCO,100,50
2008,Molokhia M,CCO,100,50
2008,Mouthon L,CCO,100,100
2008,Noël LH,CCO,100,100
2008,Reveille JD,CCO,100,50
2008,Schelleman H,CCO,100,100
2008,Sommerstein R,CCO,100,50
2008,Stovring H,CCO,100,100
2008,Teixeira L,CCO,100,100
2008,Trolliet P,CCO,100,100
2008,Vila LM,CCO,100,50
2008,Wang Jung-Der,CCO,100,100
2008,Andrews N,SCCS,0,100
2008,Douglas I,SCCS,0,0
2008,Douglas I,SCCS,0,50
2008,Grosso A,SCCS,0,50
2008,Hingorani A,SCCS,0,50
2008,Kafatos G,SCCS,0,100
2008,MacAllister R,SCCS,0,50
2008,Miller E,SCCS,0,100
2008,Smeeth L,SCCS,0,0
2008,Smeeth L,SCCS,0,50
2008,Stowe J,SCCS,0,100
2009,Contiero P,CCO+CTC,100,100
2009,Corrao G,CCO+CTC,100,100
2009,Friz HP,CCO+CTC,100,100
2009,Zambon A,CCO+CTC,100,100
2009,Abildstrom SZ,CCO,0,100
2009,Abildstrom SZ,CCO,0,50
2009,Andersen SS,CCO,0,50
2009,Britton J,CCO,100,100
2009,Brotman RM,CCO,100,100
2009,Buch P,CCO,100,100
2009,Dall M,CCO,100,50
2009,Erbelding EJ,CCO,100,100
2009,Fogarty AW,CCO,100,100
2009,Folke F,CCO,100,100
2009,Folke F,CCO,100,50
2009,Fosbol EL,CCO,100,100
2009,Fosbol EL,CCO,100,50
2009,Gadsbøll N,CCO,100,100
2009,Gibson JE,CCO,100,100
2009,Gill SS,CTC,50,50
2009,Gindi RM,CCO,100,100
2009,Gislason GH,CCO,100,100
2009,Gislason GH,CCO,100,50
2009,Hallas J,CCO,100,50
